SQ,KIAPIC0073A,KIA,Picanto,1.2 CVVT 84 GT Line 5p ISG,Urbanos,P,Hatchback,Activo,5,5,0,Gasolina (Sin plomo),1248,84,6000,62,6000,124,4000,4,1,2,71,78,8,10,5,En línea,Delantero ,Transversal,4,,,Sí,Catalizador regulado,-,4,173,12,0,EURO 6d-Temp,114,0,Inyección multipunto,5,Manual,Independiente,Torsion Beam,Delantera,Discos,Tambores,185/55R15T,185/55R15T,No,35,3595,1595,1485,2400,1400,976,255,1010,1005/960,1300/1280,1085/820,424,0,0,0,0,N/A,150000,7,-/-,-/-,-,-,2017,3,79,64,54,KIAPICHB-517E8,2020,2017,-,South Korea,GT Line                       ,11201,62,0,2428,89,364,5,13995,1,,No change - new pricelist date,Kit reparación pinchazo,03/12/2019,,,,,,,,,,
SQ,HYUSAF0124A,Hyundai,Santa Fe,2.2 CRDi 200 Klass 5p 7plz S/S Aut.,Todo Terreno Médios,P,Todo Terreno,Activo,5,7,0,Diesel,2199,200,3800,147,3800,440,1750,4,2,2,85,4,96,16,En línea,Delantero ,Transversal,4,Turbo,Sí,Sí,Diesel filtro de partículas,-,5,203,9,4,0,EURO 6d-Temp,160,0,Diesel common rail,8,Automatica,Independiente,Independiente,Delantera,Discos ventilados,Discos,235/65R17H,235/65R17H,No,71,4770,1890,1680,2765,2534,1830,547,1625,1016/995,1500/1450,1120/1001,734,0,0,0,0,N/A,Ilimitada,5,-/-,-/-,-,-,2018,5,94,88,67,HYUSAFUF-518E1,2019,2018,-,South Korea,Klass,31698,85,3139,39,6761,76,500,42100,,No change - new pricelist date,Rueda normal,04/11/2019,,,,,,,,,,,
SQ,HYUSAF0125A,Hyundai,Santa Fe,2.2 CRDi 200 Tecno 5p 7plz S/S Aut.,Todo Terreno Médios,P,Todo Terreno,Activo,5,7,0,Diesel,2199,200,3800,147,3800,440,1750,4,2,2,85,4,96,16,En línea,Delantero ,Transversal,4,Turbo,Sí,Sí,Diesel filtro de partículas,-,5,203,9,4,0,EURO 6d-Temp,153,0,Diesel common rail,8,Automatica,Independiente,Independiente,Delantera,Discos ventilados,Discos,235/60R18H,235/60R18H,No,71,4770,1890,1680,2765,2534,1805,547,1625,1016/995,1500/1450,1120/1001,729,0,0,0,0,N/A,Ilimitada,5,-/-,-/-,-,-,2018,5,94,88,67,HYUSAFUF-518E1,2019,2018,-,South Korea,Tecno,37790,26,1818,79,8040,95,500,48150,,No change - new pricelist date,Rueda normal,04/11/2019,,,,,,,,,,,
SQ,HYUSAF0126A,Hyundai,Santa Fe,2.2 CRDi 200 Tecno 5p 7plz S/S Aut.,Todo Terreno Médios,P,Todo Terreno,Activo,5,7,0,Diesel,2199,200,3800,147,3800,440,1750,4,2,2,85,4,96,16,En línea,Delantero ,Transversal,4,Turbo,Sí,Sí,Diesel filtro de partículas,-,5,203,9,4,0,EURO 6d-Temp,153,0,Diesel common rail,8,Automatica,Independiente,Independiente,Delantera,Discos ventilados,Discos,235/60R18H,235/60R18H,No,71,4770,1890,1680,2765,2534,1805,547,1625,1016/995,1500/1450,1120/1001,729,0,0,0,0,N/A,Ilimitada,5,-/-,-/-,-,-,2018,5,94,88,67,HYUSAFUF-518E1,2019,2018,-,South Korea,Tecno,37790,26,1818,79,8040,95,500,48150,,No change - new pricelist date,Rueda normal,04/11/2019,,,,,,,,,,,
SQ,HYUSAF0127A,Hyundai,Santa Fe,2.2 CRDi 200 Tecno 4x4 5p 7plz S/S Aut.,Todo Terreno Médios,P,Todo Terreno,Activo,5,7,0,Diesel,2199,200,3800,147,3800,440,1750,4,2,2,85,4,96,16,En línea,Delantero ,Transversal,4,Turbo,Sí,Sí,Diesel filtro de partículas,-,5,203,9,4,0,EURO 6d-Temp,159,0,Diesel common rail,8,Automatica,Independiente,Independiente,Tracción integral permanente,Discos ventilados,Discos,235/60R18H,235/60R18H,No,71,4770,1890,1680,2765,2594,1870,547,1625,1016/995,1500/1450,1120/1001,724,0,0,0,0,N/A,Ilimitada,5,-/-,-/-,-,-,2018,5,94,88,67,HYUSAFUF-518E1,2019,2018,-,South Korea,Tecno,39380,72,1894,33,8374,95,500,50150,,No change - new pricelist date,Rueda normal,04/11/2019,,,,,,,,,,,
SQ,HYUSAF0128A,Hyundai,Santa Fe,2.2 CRDi 200 Tecno 4x4 5p 7plz S/S Aut.,Todo Terreno Médios,P,Todo Terreno,Activo,5,7,0,Diesel,2199,200,3800,147,3800,440,1750,4,2,2,85,4,96,16,En línea,Delantero ,Transversal,4,Turbo,Sí,Sí,Diesel filtro de partículas,-,5,203,9,4,0,EURO 6d-Temp,159,0,Diesel common rail,8,Automatica,Independiente,Independiente,Tracción integral permanente,Discos ventilados,Discos,235/60R18H,235/60R18H,No,71,4770,1890,1680,2765,2594,1870,547,1625,1016/995,1500/1450,1120/1001,724,0,0,0,0,N/A,Ilimitada,5,-/-,-/-,-,-,2018,5,94,88,67,HYUSAFUF-518E1,2019,2018,-,South Korea,Tecno,39380,72,1894,33,8374,95,500,50150,,No change - new pricelist date,Rueda normal,04/11/2019,,,,,,,,,,,
SQ,KIAPIC0074A,KIA,Picanto,1.2 CVVT 84 GT Line 5p Aut.,Urbanos,P,Hatchback,Activo,5,5,0,Gasolina (Sin plomo),1248,84,6000,62,6000,124,4000,4,1,2,71,78,8,10,5,En línea,Delantero ,Transversal,4,,,Sí,Catalizador regulado,-,4,161,13,7,0,EURO 6d-Temp,136,0,Inyección multipunto,4,Automatica,Independiente,Torsion Beam,Delantera,Discos,Tambores,185/55R15S,185/55R15S,No,35,3595,1595,1485,2400,1400,983,255,1010,1005/960,1300/1280,1085/820,417,0,0,0,0,N/A,150000,7,-/-,-/-,-,-,2017,3,79,64,54,KIAPICHB-517E8,2020,2017,-,South Korea,GT Line                       ,11798,52,577,74,2554,23,364,5,15294,99,,No change - new pricelist date,Kit reparación pinchazo,03/12/2019,,,,,,,,
SQ,KIAPIC0075A,KIA,Picanto,1.0 T-GDi 100 GT Line 5p ISG,Urbanos,P,Hatchback,Activo,5,5,0,Gasolina (Sin plomo),998,100,4500,74,4500,175,1500,3,1,71,84,10,En línea,Delantero ,Transversal,4,Turbo,Sí,Sí,Catalizador regulado,-,4,180,10,1,0,EURO 6d-Temp,105,0,Gasolina inyección directa,4,Automatica,Independiente,Torsion Beam,Delantera,Discos,Tambores,185/55R15S,185/55R15S,No,35,3595,1595,1485,2400,1400,933,255,1010,1005/960,1300/1280,1085/820,467,0,0,0,0,N/A,150000,7,-/-,-/-,-,-,2017,3,79,64,54,KIAPICHB-517E8,2020,2017,-,South Korea,GT Line                       ,12317,32,0,2663,18,364,5,15345,,No change - new pricelist date,Kit reparación pinchazo,03/12/2019,,,,,,,,,,,,,
SQ,KIAPIC0076A,KIA,Picanto,1.0 T-GDi 100 X-Line 5p ISG,Urbanos,P,Hatchback,Activo,5,5,0,Gasolina (Sin plomo),998,100,4500,74,4500,175,1500,3,1,71,84,10,En línea,Delantero ,Transversal,4,Turbo,Sí,Sí,Catalizador regulado,-,4,180,10,1,0,EURO 6d-Temp,107,0,Gasolina inyección directa,5,Manual,Independiente,Torsion Beam,Delantera,Discos,Tambores,195/45R16T,195/45R16T,No,35,3670,1625,1500,2400,1400,933,255,1010,1005/960,1300/1280,1085/820,467,0,0,0,0,N/A,150000,7,-/-,-/-,-,-,2017,3,79,64,54,KIAPICHB-517E3,2020,2017,-,South Korea,X-Line,12573,51,0,2716,98,364,5,15654,99,,No change - new pricelist date,Kit reparación pinchazo,03/12/2019,,,,,,,,,,,,
SQ,PEUBOX0195C,Peugeot,Boxer,Combi 5/9 330 2.2 BlueHDi 120 L1H1 4p,Furgones,C,Combi,Activo,4,6,3,Diesel,2197,120,3500,88,3500,310,0,4,2,2,0,0,0,En línea,Delantero ,Transversal,4,Turbo,Sí,Sí,Diesel filtro de partículas,-,5,0,0,0,EURO 6d-Temp,158,0,Diesel common rail,6,Manual,Independiente,Rígida,Delantera,Discos ventilados,Discos,215/70R15H,215/70R15H,No,90,4963,2050,2254,3000,3000,0,2000,2000,0/0,0/0,0/0,0,0,1620,0,0,N/A,Ilimitada,2,-/-,-/-,40000,2,,0,0,0,0,PEUBOXVCA414E1,2019,2014,-,France,Standard,28444,45,0,6064,84,435,72,34945,1,,No change - new pricelist date,Rueda normal,01/11/2019,,,,,,,,,,,,
